University,Country,City,Region,Logo,Link,Type,Size,Faculty_count,International_Students,Students_count,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Latitude,Longitude
"Birkbeck, University of London",United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/birkbeck-university-of-london_1636_small.jpg,https://www.topuniversities.com/universities/birkbeck-university-london,Public,M,585,3,8190,280,308,306,327,345,333,,
Taylor's University,Malaysia,Subang Jaya,Asia,https://www.topuniversities.com/sites/default/files/taylors-university_592560cf2aeae70239af57af_small.jpg,https://www.topuniversities.com/universities/taylors-university,Private,S,578,2,4046,0,0,606,511,379,333,,
Huazhong University of Science and Technology,China (Mainland),Wuhan,Asia,https://www.topuniversities.com/sites/default/files/huazhong-university-of-science-and-technology_592560cf2aeae70239af5256_small.jpg,https://www.topuniversities.com/universities/huazhong-university-science-technology,Public,XL,4,3,60,441,471,415,400,396,335,,
National Taiwan Normal University,Taiwan,Taipei City,Asia,https://www.topuniversities.com/sites/default/files/national-taiwan-normal-university_440_small.jpg,https://www.topuniversities.com/universities/national-taiwan-normal-university,Public,M,1,1,8,310,289,308,330,333,335,,
Politecnico di Torino,Italy,Turin,Europe,https://www.topuniversities.com/sites/default/files/211027114149am317273Poli-di-Torino-logo-200x2000-48x48.jpg,https://www.topuniversities.com/universities/politecnico-di-torino,Public,XL,1,5,29,305,307,387,347,309,335,,
Royal Holloway University of London,United Kingdom,Egham,Europe,https://www.topuniversities.com/sites/default/files/royal-holloway-university-of-london_534_small.jpg,https://www.topuniversities.com/universities/royal-holloway-university-london,Public,M,831,4,10803,235,259,236,290,309,335,,
Tianjin University,China (Mainland),Tianjin,Asia,https://www.topuniversities.com/sites/default/files/tianjin-university_609_small.jpg,https://www.topuniversities.com/universities/tianjin-university,Public,L,3,3,27,482,471,443,428,387,335,,
University of Victoria (UVic),Canada,Victoria,North America,https://www.topuniversities.com/sites/default/files/university-of-victoria-uvic_592560cf2aeae70239af4d0e_small.jpg,https://www.topuniversities.com/universities/university-victoria-uvic,Public,L,865,6,22490,325,346,359,363,370,335,48.46357031,-123.3116935
Goethe-University Frankfurt am Main,Germany,Frankfurt,Europe,https://www.topuniversities.com/sites/default/files/universitt-frankfurt-am-main_214_small.jpg,https://www.topuniversities.com/universities/goethe-university-frankfurt-am-main,Public,XL,4,7,48,264,254,279,290,312,341,,
University of Hawaiʻi at Mānoa,United States,Honolulu,North America,https://www.topuniversities.com/sites/default/files/university-of-hawaii-at-maoa_255_small.jpg,https://www.topuniversities.com/universities/university-hawaii-manoa,Public,L,2,2,18,343,341,302,325,335,341,21.30006389,-157.8147799
